ncsf,seq,MPI,CUDA+MPI,CUDA+MPI+openMP
500,0.154,0.235,0.177,0.2096
1000,0.771,1.263,0.247,0.2437
1500,2.547,3.2995,0.355,0.375
2000,6.589,11.249,0.5396,0.5376
2500,14.1076,21.611,0.8056,0.8176
3000,25.0905,42.597,1.1716,1.911
3500,40.731,78.958,1.7105,1.7059
4000,64.880,103.800,2.4694,2.425
4500,120.972,151.667,3.3083,3.237
5000,151.647,200.650,4.2855,4.246
5500,212.129,271.859,5.5192,5.189
6000,255.772,351.577,7.1157,6.6049
6500,330.839,350.838,8.779,8.263
7000,387.689,463.025,10.682,10.0566
