ncsf,seq,MPI,CUDA+MPI,CUDA+MPI+openMP
500,0.005,0.0133,0.0423,0.0436
1000,0.237,0.0947,0.1042,0.1099
1500,0.0783,0.1551,0.1944,0.2070
2000,0.176,0.446,0.4012,0.4037
2500,0.368,0.797,0.7367,0.7352
3000,0.6521,1.379,1.2241,1.2246
3500,1.0349,2.305,1.9107,1.9078
4000,1.634,3.1504,2.814,2.7715
4500,2.709,4.477,3.9641,3.9043
5000,3.6215,6.323,5.5305,5.393
5500,5.4528,8.700,7.980,7.010
6000,5.8809,10.059,11.012,9.088
6500,7.9107,13.069,14.102,12.101
7000,9.5482,14.664,17.811,15.169
