ncsf,seq,MPI,CUDA+MPI,CUDA+MPI+openMP
500,0.712,15.63,1.644,1.956
1000,3.588,16.701,4.972,3.9608
1500,9.325,23.532,8.053,7.3704
2000,20.185,35.472,15.553,12.526
2500,36.063,55.489,21.474,18.793
3000,59.922,87.180,31.791,27.632
3500,88.658,137.612,43.733,38.464
4000,141.846,176.259,65.627,58.000
4500,208.78,235.041,79.031,68.759
5000,268.101,300.657,109.095,92.642
5500,342.164,392.637,135.159,116.023
6000,429.413,482.83,178.56,158.761
6500,531.598,503.222,218.067,189.616
